user_id,pattern,event_ts
2365,velocity_abuse,2025-06-05 13:02:30.936725
1855,velocity_abuse,2025-05-09 13:42:07.280461
1345,velocity_abuse,2025-07-20 07:34:46.149698
2373,velocity_abuse,2025-04-07 01:13:29.681736
4938,velocity_abuse,2025-07-03 03:00:53.884933
3406,velocity_abuse,2025-03-21 10:37:29.965661
849,velocity_abuse,2025-05-25 11:38:17.317023
1877,velocity_abuse,2025-03-02 13:24:19.511893
4444,velocity_abuse,2025-05-30 11:14:55.879861
4445,velocity_abuse,2025-02-16 16:28:57.657593
1387,velocity_abuse,2025-03-28 16:05:24.983199
367,velocity_abuse,2025-05-16 11:25:22.436956
3444,velocity_abuse,2025-04-19 10:41:31.519736
891,amount_anomaly,2025-05-20 22:54:29.027656
4989,amount_anomaly,2025-07-02 16:35:29.932910
2437,amount_anomaly,2025-05-04 07:29:54.527425
4999,amount_anomaly,2025-08-12 22:01:49.307202
393,amount_anomaly,2025-07-23 00:28:48.076953
406,amount_anomaly,2025-08-12 19:36:49.074336
1944,amount_anomaly,2025-08-02 14:52:44.579065
3481,amount_anomaly,2025-02-24 01:22:49.113316
409,amount_anomaly,2025-06-19 07:30:18.882621
412,amount_anomaly,2025-07-04 16:01:26.242525
1439,amount_anomaly,2025-02-27 08:01:14.064739
1442,amount_anomaly,2025-08-11 09:58:04.928463
938,amount_anomaly,2025-02-23 18:22:06.406118
2479,amount_anomaly,2025-02-02 11:31:00.501439
1971,amount_anomaly,2025-04-30 11:39:02.995618
4532,amount_anomaly,2025-07-18 14:24:11.164476
2487,amount_anomaly,2025-03-08 14:59:02.030321
2489,amount_anomaly,2025-03-09 22:59:58.865422
2490,amount_anomaly,2025-04-15 05:12:25.594622
3519,amount_anomaly,2025-04-07 07:19:05.080484
1984,amount_anomaly,2025-04-30 23:57:52.049128
2499,amount_anomaly,2025-06-29 13:49:03.356098
3026,amount_anomaly,2025-06-09 05:55:16.260957
3028,amount_anomaly,2025-03-15 14:42:06.987587
2518,amount_anomaly,2025-02-27 21:48:37.671593
2520,amount_anomaly,2025-04-26 23:19:56.251538
2008,amount_anomaly,2025-05-27 04:22:01.830360
3546,amount_anomaly,2025-05-12 09:36:23.273398
993,amount_anomaly,2025-06-20 00:47:48.881145
1507,amount_anomaly,2025-05-18 00:14:49.259586
996,amount_anomaly,2025-04-04 16:30:33.630426
2533,amount_anomaly,2025-06-04 12:54:45.732903
2024,amount_anomaly,2025-05-30 04:27:33.464894
1008,amount_anomaly,2025-03-09 03:48:47.688878
1010,amount_anomaly,2025-02-09 22:52:38.736866
1528,amount_anomaly,2025-03-19 08:21:24.562869
2042,amount_anomaly,2025-08-18 19:01:42.527519
510,amount_anomaly,2025-06-07 10:35:11.083282
